StartDate,EndDate,Progress,Duration (in seconds),Finished,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_9_TEXT,Q4,Q4_5_TEXT,Q5,Q5_6_TEXT,Q5_7_TEXT,Q6,Q7,Q7_9_TEXT,Q8,Q9,Q9_9_TEXT,Q10,Q11,Q11_6_TEXT,Q12,Q12_6_TEXT,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28
Start Date,End Date,Progress,Duration (in seconds),Finished,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Age,Gender,Field of Study/Profession (Select all that apply) - Selected Choice,Field of Study/Profession (Select all that apply) - Other: [text entry] - Text,Current Status (Select all that apply) - Selected Choice,Current Status (Select all that apply) - Other: [text entry] - Text,Proximity to Northeastern University (Boston) - Selected Choice,Proximity to Northeastern University (Boston) - Other U.S. location - Text,Proximity to Northeastern University (Boston) - International - Text,How would you rate your current knowledge of AI tools and technologies?,Which AI tools have you used before? (Select all that apply) - Selected Choice,Which AI tools have you used before? (Select all that apply) - Other: [text entry] - Text,How often do you currently use AI tools?,For what purposes do you currently use AI? (Select all that apply) - Selected Choice,For what purposes do you currently use AI? (Select all that apply) - Other: [text entry] - Text,How interested are you in improving your AI skills?,What motivates your interest in AI upskilling? (Select all that apply) - Selected Choice,What motivates your interest in AI upskilling? (Select all that apply) - Other: [text entry] - Text,What barriers might prevent you from participating in AI workshops? (Select all that apply) - Selected Choice,What barriers might prevent you from participating in AI workshops? (Select all that apply) - Other: [text entry] - Text,What workshop format would you prefer?,What is your preferred workshop duration?,When would you prefer workshops to be held? (Select all that apply),Would you be interested in summer 2025 workshops?,"If workshops were offered, how many would you likely attend?",Introduction to AI Tools and Technologies Overview of popular AI platforms and basic prompt engineering concepts,Prompt Engineering Fundamentals Techniques for effective prompt construction and refinement,AI for Academic Success Organizing study materials and creating personalized study guides,AI Ethics and Critical Thinking Evaluating AI outputs for accuracy and understanding bias,AI for Personal Branding Creating brand identity elements and portfolio development,"AI Image Generation Using MidJourney, DALL-E, and other image generation tools",AI Music and Sound Production Creating and editing music and audio with AI tools,AI Video Production Text-to-video technologies and visual storytelling,AI Agents and Automation Building simple AI agents and workflow automation,"AI for Programmers Code generation, assistance, and documentation automation",Is there any specific AI-related topic or skill not mentioned above that you would be interested in learning?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_9_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_6_TEXT""}","{""ImportId"":""QID6_7_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_9_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_9_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_6_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID33""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}"
4/11/25 14:59,4/11/25 15:02,100,192,TRUE,,,,,42.428,-71.0618,anonymous,EN,,Male,Computer Science/IT,,Professional,,Greater Boston area (within 20 miles),,,,"ChatGPT,Claude,GitHub Copilot",,,"Writing assistance,Programming/coding,Personal organization,Professional work",,,"Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Time constraints,Location/transportation",,Hybrid (mix of online and in-person),,"Weekday mornings,Weekday afternoons,Weekend mornings",,6 or more,,,,,,,,,,,Security operations and detection analytics
4/11/25 15:05,4/11/25 15:08,100,212,TRUE,,,,,42.2904,-71.0712,anonymous,EN,,Female,Computer Science/IT,,Graduate student,,Within Boston city limits,,,,"ChatGPT,Claude,Midjourney,DALL-E,GitHub Copilot,AI music generation tools,AI video generation tools",,,"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,Time constraints,,Hybrid (mix of online and in-person),,"Weekday afternoons,Weekend mornings","Yes, definitely",6 or more,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,,Not interested,Not interested,
4/11/25 15:07,4/11/25 15:10,100,179,TRUE,,,,,42.3364,-71.0326,anonymous,EN,Under 18,Male,Computer Science/IT,,Graduate student,,International,,,No knowledge,"ChatGPT,Claude,Midjourney,DALL-E,Stable Diffusion,GitHub Copilot,AI music generation tools,AI video generation tools",,Never,"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,,,Hybrid (mix of online and in-person),1 hour,"Weekday mornings,Weekday afternoons,Weekday evenings,Weekend mornings,Weekend afternoons","Yes, definitely",6 or more,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,
4/11/25 15:07,4/11/25 15:10,100,225,TRUE,,,,,42.428,-71.0618,anonymous,EN,Under 18,Male,"Computer Science/IT,Engineering,Business/Management",,Graduate student,,Within Boston city limits,,,No knowledge,"ChatGPT,Claude,GitHub Copilot",,Never,"Academic research,Writing assistance,Programming/coding,Professional work",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology",,"Cost,Location/transportation,Scheduling conflicts",,Online only,1 hour,"Weekday afternoons,Weekday evenings","Yes, definitely",6 or more,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,
4/11/25 15:08,4/11/25 15:14,100,324,TRUE,,,,,45.0702,-93.4556,anonymous,EN,Under 18,Female,Arts/Design,,Faculty,,Other U.S. location,Remote,,No knowledge,"ChatGPT,Claude,Midjourney,DALL-E",,Never,"Academic research,Writing assistance,Creative projects,Personal organization,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Time constraints,Lack of prerequisites",,Online only,1 hour,"Weekday mornings,Weekend mornings","Yes, definitely",6 or more,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Personal Branding
4/11/25 15:06,4/11/25 15:15,100,530,TRUE,,,,,49.2732,-123.0124,anonymous,EN,Under 18,Female,"Computer Science/IT,Engineering",,Graduate student,,International,,Northeastern University Vancouver,No knowledge,"ChatGPT,Claude,GitHub Copilot,Other: [text entry]",cursor,Never,"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Location/transportation,Scheduling conflicts",,Hybrid (mix of online and in-person),1 hour,"Weekday afternoons,Weekday evenings,Weekend mornings,Weekend afternoons",,6 or more,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,
4/11/25 15:14,4/11/25 15:20,100,318,TRUE,,,,,37.5625,-122.0004,anonymous,EN,Under 18,Male,Engineering,,Graduate student,,International,,,No knowledge,"ChatGPT,Claude,GitHub Copilot,AI music generation tools,AI video generation tools,Other: [text entry]","Grok,perplexity, Deepseek",Never,"Academic research,Writing assistance,Programming/coding,Creative projects,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology",,"Cost,Time constraints,Location/transportation",,Online only,1 hour,"Weekday mornings,Weekend mornings","Yes, definitely",Just 1,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,
4/11/25 15:17,4/11/25 15:21,100,233,TRUE,,,,,42.428,-71.0618,anonymous,EN,Under 18,Male,"Computer Science/IT,Engineering",,Graduate student,,On campus,,,No knowledge,"ChatGPT,Claude,GitHub Copilot",,Never,"Academic research,Writing assistance,Programming/coding,Creative projects,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Time constraints,Location/transportation",,Online only,1 hour,"Weekday evenings,Weekend afternoons",,5-Apr,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,
